team_id,team_name,name,games_played,position_rank,average_points,total_points,receptions,rec_yards,rec_TD,avg_receptions,rec_yards_per_game,rush_yards,rush_yds_per_game,rush_TD,total_TD
15,49ers,Jeff Wilson,11,39,10.77,118.5,10,121,2,0.9,11,524,47.6,6,8
13,Cardinals,Chase Edmonds,15,23,10.9,163.5,51,374,4,3.4,24.9,451,30.1,1,5
23,Browns,Kareem Hunt,15,8,14.23,213.4,37,300,5,2.5,20,804,53.6,6,11
26,Colts,Nyheim Hines,15,16,12.1,181.5,58,432,4,3.9,28.8,363,24.2,3,7
4,WFT,J.D. Mckissic,15,15,12.23,183.4,75,559,2,5,37.3,365,24.3,1,3
13,Cardinals,James Conner,12,27,12.78,153.3,30,190,0,2.5,15.8,638,56.9,6,6
18,Dolphins,Malcolm Brown,15,43,7.09,106.3,22,164,0,1.5,10.9,399,26.6,5,5
2,Giants,Saquon Barkley,2,115,18.93,303,60,454,2,3.8,28.4,1228,76.8,10,12
15,49ers,Wayne Gallman,14,34,9.29,130.1,21,114,0,1.5,8.1,617,44.1,6,6
19,Patriots,Damien Harris,10,49,9.13,91.3,5,52,0,0.5,5.2,691,69.1,2,2
19,Patriots,Sony Michel,7,74,6.59,52.7,4,54,0,0.6,6.8,373,46.6,1,1
25,Texans,Rex Burkhead,10,42,10.76,107.6,25,192,3,2.5,19.2,274,27.4,3,6
17,Bills,Devin Singletary,15,30,9.42,141.3,37,263,0,2.5,17.5,680,45.3,2,2
17,Bills,Zack Moss,12,48,8.21,98.5,13,82,1,1.1,6.8,473,39.4,4,5
18,Dolphins,Salvon Ahmed,5,69,11.04,55.2,8,42,0,1.6,8.4,290,58,2,2
19,Patriots,James White,13,44,7.96,103.5,45,344,0,3.5,26.5,121,9.3,2,2
11,Saints,Latavius Murray,15,32,9.08,136.2,23,176,1,1.5,11.7,656,43.7,4,5
21,Ravens,Gus Edwards,15,38,8.01,120.2,8,119,0,0.5,7.9,663,44.2,6,6
25,Texans,Mark Ingram,9,78,4.9,49,6,50,0,0.7,5,260,26,2,2
6,Lions,Adrian Peterson,15,41,7.48,112.2,12,101,0,0.8,6.7,541,36.1,6,6
1,Cowboys,Tony Pollard,15,40,7.63,114.4,25,174,1,1.7,11.6,420,28,4,5
24,Steelers,Kalen Ballage,10,55,8.43,84.3,20,99,0,2,9.9,254,25.4,2,2
32,Chargers,Justin Jackson,8,76,6.49,51.9,18,141,0,2.3,17.6,198,24.8,0,0
32,Chargers,Josh Kelley,13,57,6.25,81.2,23,148,0,1.8,11.4,354,27.2,2,2
9,Falcons,Ito Smith,13,70,4.21,54.7,16,68,0,1.2,5.2,259,19.9,1,1
20,Jets,Ty Johnson,10,71,4.54,54.5,14,76,1,1.4,7.6,209,20.9,1,2
6,Lions,Jamaal Williams,13,37,9.58,124.5,31,236,1,2.4,18.2,479,36.8,2,3
27,Jaguars,Carlos Hyde,10,53,8.49,84.9,16,93,0,1.6,9.3,356,35.6,4,4
